1777212719.586551,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.586689,-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.586835,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.586972,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.587119,-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.587261,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.5874271,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777212719.587577,-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.5877278,-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777212719.587872,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.588021,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777212719.588166,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.588316,-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.58846,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.58861,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777212719.588754,-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.5889,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777212719.589042,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777212719.589283,-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.5894341,-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0004
1777212719.5895839,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777212719.589728,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.5899289,-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.590079,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.5902379,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777212719.590497,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.5906491,-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.590799,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777212719.59094,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.591081,-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.591218,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777212719.59151,-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
