1777197382.707194,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.70733,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004
1777197382.707468,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.707605,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.707741,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004
1777197382.707881,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.7080169,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004
1777197382.7081568,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0004
1777197382.7082932,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.7085068,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004
1777197382.708666,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004
1777197382.708823,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004
1777197382.70897,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.709137,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.709279,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0004
1777197382.7094212,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.7095559,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.709696,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0004
1777197382.709833,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004
1777197382.709972,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004
1777197382.7101068,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0004
1777197382.7102468,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004
1777197382.710381,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0004
1777197382.7105322,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777197382.710668,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.7108102,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004
1777197382.710957,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.7110982,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0004
1777197382.711231,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004
1777197382.711373,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004
1777197382.7115068,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.711644,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.711776,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0004
1777197382.71192,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004
1777197382.7120519,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0004
1777197382.712188,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004
1777197382.71232,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.712457,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.712598,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004
1777197382.712736,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004
1777197382.712876,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.713016,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0004
1777197382.713155,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0004
1777197382.713294,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.713433,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
1777197382.713567,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0004
1777197382.713723,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0004
1777197382.713873,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.714015,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.7141519,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004
1777197382.7142909,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.714425,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.714567,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0004
1777197382.714698,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.714838,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004
1777197382.7149692,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.7151098,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004
1777197382.715245,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0004
1777197382.7153869,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.715519,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004
1777197382.715659,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004
1777197382.7158,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004
1777197382.7159371,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.716071,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.716207,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004
1777197382.71634,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004
1777197382.716479,-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004
1777197382.716615,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0004
1777197382.716746,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0004
1777197382.716877,-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0004
1777197382.7170088,-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0004	-0.0004
